Genus,species,file,Sex,Number_of_colors,Red,Orange,Yellow,Green,Blue,Indigo,Violet,Gray,Black,Brown,White,Buff
Tangara,abbas,Tangara_abbas.png,,5,0,0,1,0,1,0,0,1,1,0,0,1
Tangara,argentea,Tangara_argentea_f.png,,4,0,0,1,1,0,0,0,1,0,0,0,1
Tangara,argentea,Tangara_argentea_m.png,,4,0,0,1,0,1,0,0,0,1,0,0,1
Tangara,argyrofenges,Tangara_argyrofenges_argyrofenges_f.png,,5,0,0,1,1,1,0,0,1,0,0,1,0
Tangara,argyrofenges,Tangara_argyrofenges_argyrofenges_m.png,,3,0,0,1,1,0,0,0,0,1,0,0,0
Tangara,arthus,Tangara_arthus.png,,3,0,0,1,0,0,0,0,0,1,1,0,0
Tangara,atrocoerulea,Tangara_atrocoerulea.png,,3,0,0,0,0,1,0,0,0,1,0,1,0
Tangara,aurulenta,Tangara_aurulenta_aurulenta.png,,2,0,0,1,0,0,0,0,0,1,0,0,0
Tangara,brasiliensis,Tangara_brasiliensis.png,,4,0,0,0,0,1,0,0,1,1,0,1,0
Tangara,cabanisi,Tangara_cabanisi.png,,5,0,0,1,0,1,0,0,1,1,0,1,0
Tangara,callophrys,Tangara_callophrys.png,,3,0,0,1,0,1,0,0,0,1,0,0,0
Tangara,cayana,Tangara_cayana_f.png,,4,0,1,0,1,0,0,0,1,0,0,0,1
Tangara,cayana,Tangara_cayana_variantA_m.png,,5,0,1,1,1,1,0,0,0,1,0,0,0
Tangara,chilensis,Tangara_chilensis_chilensis.png,,5,1,0,0,1,1,1,0,0,1,0,0,0
Tangara,chrysotis,Tangara_chrysotis.png,,4,0,0,1,1,0,0,0,0,1,1,0,0
Tangara,cucullata,Tangara_cucullata_f.png,,5,0,0,0,1,0,0,0,1,1,1,0,1
Tangara,cucullata,Tangara_cucullata_m.png,,7,0,0,1,1,1,0,0,1,1,1,0,1
Tangara,cyanocephala,Tangara_cyanocephala_cyanocephala_f.png,,5,1,0,0,1,1,1,0,0,1,0,0,0
Tangara,cyanocephala,Tangara_cyanocephala_cyanocephala_m.png,,7,1,0,1,1,1,1,0,0,1,0,0,1
Tangara,cyanomelas,Tangara_cyanomelas.png,,5,0,0,1,0,1,1,0,0,1,1,0,0
Tangara,cyanoptera,Tangara_cyanoptera.png,,4,0,0,0,0,1,1,0,1,0,0,1,0
Tangara,cyanotis,Tangara_cyanotis_cyanotis.png,,6,0,0,1,1,0,1,0,1,1,0,0,1
Tangara,cyanoventris,Tangara_cyanoventris_f.png,,3,0,0,1,0,1,0,0,0,1,0,0,0
Tangara,cyanoventris,Tangara_cyanoventris_m.png,,6,0,0,1,1,1,0,0,0,1,0,1,1
Tangara,desmaresti,Tangara_desmaresti.png,,6,0,1,1,1,1,0,0,0,1,0,0,1
Tangara,dowii,Tangara_dowii.png,,6,0,0,1,0,1,1,0,0,1,1,0,1
Tangara,epsicopus,Tangara_episcopus_episcopus.png,,4,0,0,0,0,1,1,0,1,0,0,1,0
Tangara,fastuosa,Tangara_fastuosa.png,,4,0,0,1,0,1,1,0,0,1,0,0,0
Tangara,flava,Tangara_flava_chloroptera_f.png,,5,0,0,1,1,0,0,0,1,0,0,1,1
Tangara,flava,Tangara_flava_chloroptera_m.png,,5,0,0,1,0,1,1,0,0,1,0,0,1
Tangara,florida,Tangara_florida_f.png,,3,0,0,0,1,0,0,0,0,1,0,0,1
Tangara,florida,Tangara_florida_m.png,,3,0,0,0,1,0,0,0,0,1,0,0,1
Tangara,fucosa,Tangara_fucosa.png,,5,0,0,1,0,1,1,0,0,1,0,0,1
Tangara,fulvicervix,Tangara_fulvicervix.png,,6,0,0,0,0,1,1,0,1,1,1,1,0
Tangara,glaucocolpa,Tangara_glaucocolpa.png,,4,0,0,0,0,1,1,0,1,0,0,1,0
Tangara,guttata,Tangara_guttata_guttata.png,,4,0,0,1,1,0,0,0,0,1,0,1,0
Tangara,gyrola,Tangara_gyrola_gyrola.png,,5,0,0,1,1,1,0,0,0,1,1,0,0
Tangara,heinei,Tangara_heinei_f.png,,5,0,0,1,1,1,0,0,1,0,0,1,0
Tangara,heinei,Tangara_heinei_m.png,,4,0,0,0,1,1,1,0,0,1,0,0,0
Tangara,inornata,Tangara_inornata_inornata.png,,4,0,0,0,0,0,1,0,1,1,0,1,0
Tangara,johannae,Tangara_johannae.png,,4,0,0,1,0,1,0,0,0,1,0,1,0
Tangara,labradorides,Tangara_labradorides.png,,6,0,0,1,1,1,1,0,0,1,0,0,1
Tangara,larvata,Tangara_larvata.png,,6,0,0,1,0,1,1,0,0,1,0,1,1
Tangara,lavinia,Tangara_lavinia_lavinia_f.png,,4,0,0,1,1,1,0,0,0,0,1,0,0
Tangara,lavinia,Tangara_lavinia_lavinia_m.png,,4,0,0,1,1,1,0,0,0,0,1,0,0
Tangara,lunigera,Tangara_lunigera.png,,6,0,0,1,1,1,0,0,1,1,1,0,0
Tangara,mexicana,Tangara_mexicana_boliviana_m.png,,3,0,0,1,0,0,1,0,0,1,0,0,0
Tangara,nigrocincta,Tangara_nigrocincta_f.png,,5,0,0,0,1,1,1,0,0,1,0,1,0
Tangara,nigrocincta,Tangara_nigrocincta_m.png,,5,0,0,0,1,1,1,0,0,1,0,1,0
Tangara,nigroviridis,Tangara_nigroviridis.png,,5,0,0,1,0,1,1,0,0,1,0,1,0
Tangara,ornata,Tangara_ornata.png,,4,0,0,1,0,0,1,0,1,0,0,1,0
Tangara,palmarum,Tangara_palmarum_melanoptera.png,,4,0,0,1,0,0,0,0,0,1,1,0,1
Tangara,palmeri,Tangara_palmeri.png,,4,0,0,1,0,0,0,0,1,1,0,1,0
Tangara,parzudakii,Tangara_parzudakii_parzudakii.png,,6,1,0,1,1,1,0,0,0,1,0,0,1
Tangara,peruviana,Tangara_peruviana_f.png,,5,0,0,1,1,0,0,0,1,0,0,1,1
Tangara,peruviana,Tangara_peruviana_m.png,,5,0,0,1,1,1,0,0,0,1,1,0,0
Tangara,phillipsi,Tangara_phillipsi_f.png,,3,0,0,0,1,1,0,0,1,0,0,0,0
Tangara,phillipsi,Tangara_phillipsi_m.png,,4,0,0,0,1,1,1,0,0,1,0,0,0
Tangara,preciosa,Tangara_preciosa_f.png,,4,0,0,1,1,0,0,0,1,0,1,0,0
Tangara,preciosa,Tangara_preciosa_m.png,,7,0,0,1,1,0,1,0,1,1,1,1,0
Tangara,punctata,Tangara_punctata.png,,4,0,0,1,1,0,0,0,0,1,0,1,0
Tangara,ruficervix,Tangara_ruficervix_ruficervix.png,,6,0,0,1,0,1,1,0,0,1,1,1,0
Tangara,rufigenis,Tangara_rufigenis.png,,6,0,0,1,1,1,0,0,0,1,1,0,1
Tangara,rufigula,Tangara_rufigula.png,,4,0,0,1,0,0,0,0,0,1,1,0,1
Tangara,sayaca,Tangara_sayaca_sayaca.png,,3,0,0,0,0,1,0,0,1,0,0,1,0
Tangara,schrankii,Tangara_schrankii_f.png,,4,0,0,1,0,1,0,0,0,1,0,1,0
Tangara,schrankii,Tangara_schrankii_m.png,,5,0,0,1,1,1,0,0,0,1,0,1,0
Tangara,seledon,Tangara_seledon_f.png,,5,0,0,1,1,1,1,0,0,1,0,0,0
Tangara,seledon,Tangara_seledon_m.png,,6,0,1,1,1,1,1,0,0,1,0,0,0
Tangara,varia,Tangara_varia_f.png,,2,0,0,0,1,0,0,0,0,1,0,0,0
Tangara,varia,Tangara_varia_m.png,,3,0,0,0,1,1,0,0,0,1,0,0,0
Tangara,vassorii,Tangara_vassorii_vassorii.png,,2,0,0,0,0,0,1,0,0,1,0,0,0
Tangara,velia,Tangara_velia_velia.png,,5,0,0,1,0,1,1,0,0,1,1,0,0
Tangara,versicolor,Tangara_versicolor_f.png,,5,0,0,1,1,0,0,0,1,0,1,0,1
Tangara,versicolor,Tangara_versicolor_m.png,,6,0,0,1,1,1,0,0,0,1,1,0,1
Tangara,viridicollis,Tangara_viridicollis_viridicollis_f.png,,4,0,0,1,1,0,0,0,1,0,0,0,1
Tangara,viridicollis,Tangara_viridicollis_viridicollis_m.png,,3,0,0,1,0,0,0,0,1,1,0,0,0
Tangara,vitriolina,Tangara_vitriolina.png,,5,0,0,1,1,1,0,0,0,1,0,0,1
Tangara,whitelyi,Tangara_whitelyi_f.png,,4,0,0,1,1,0,0,0,1,0,0,0,1
Tangara,whitelyi,Tangara_whitelyi_m.png,,3,0,0,0,0,0,0,0,0,1,0,1,1
Tangara,xanthocephala,Tangara_xanthocephala_xanthocephala.png,,5,0,0,1,1,1,0,0,0,1,0,0,1
Tangara,xanthogastra,Tangara_xanthogastra_xanthogastra.png,,4,0,0,1,1,0,0,0,0,1,0,0,1
